,precio_compra,precio_mto,n_puertas,n_personas,t_maletero,nivel_seguridad,aceptabilidad
879,med,vhigh,2,4,big,low,unacc
604,high,high,4,4,small,med,unacc
1412,low,high,2,2,big,high,unacc
1301,low,vhigh,2,2,med,high,unacc
139,vhigh,high,3,2,med,med,unacc
554,high,high,2,4,med,high,acc
1260,med,low,4,more,small,low,unacc
325,vhigh,low,2,2,small,med,unacc
1184,med,med,5more,more,med,high,vgood
429,vhigh,low,5more,more,big,low,unacc
1103,med,med,2,more,med,high,acc
1661,low,low,3,4,med,high,good
1399,low,vhigh,5more,more,med,med,acc
1362,low,vhigh,4,4,med,low,unacc
630,high,high,5more,4,small,low,unacc
1186,med,med,5more,more,big,med,acc
815,high,low,4,2,med,high,unacc
1227,med,low,3,4,med,low,unacc
355,vhigh,low,3,2,med,med,unacc
908,med,vhigh,3,4,big,high,acc
722,high,med,4,more,small,high,acc
1694,low,low,4,more,small,high,good
1005,med,high,3,2,big,low,unacc
470,high,vhigh,3,4,small,high,unacc
1117,med,med,3,4,small,med,acc
461,high,vhigh,3,2,small,high,unacc
1372,low,vhigh,4,more,med,med,acc
255,vhigh,med,3,4,med,low,unacc
261,vhigh,med,3,more,small,low,unacc
346,vhigh,low,2,more,med,med,unacc
1358,low,vhigh,4,2,big,high,unacc
169,vhigh,high,4,2,big,med,unacc
998,med,high,2,more,big,high,acc
1706,low,low,5more,2,med,high,unacc
610,high,high,4,4,big,med,acc
82,vhigh,vhigh,5more,2,small,med,unacc
213,vhigh,high,5more,more,big,low,unacc
1725,low,low,5more,more,big,low,unacc
720,high,med,4,more,small,low,unacc
1539,low,med,3,2,small,low,unacc
661,high,med,2,4,med,med,unacc
208,vhigh,high,5more,more,small,med,unacc
574,high,high,3,2,big,med,unacc
1391,low,vhigh,5more,4,med,high,acc
1417,low,high,2,4,med,med,acc
1715,low,low,5more,4,med,high,vgood
1637,low,low,2,4,big,high,vgood
51,vhigh,vhigh,3,more,big,low,unacc
788,high,low,3,2,med,high,unacc
750,high,med,5more,more,med,low,unacc
1700,low,low,4,more,big,high,vgood
1556,low,med,3,4,big,high,vgood
1685,low,low,4,4,small,high,good
551,high,high,2,4,small,high,acc
448,high,vhigh,2,4,big,med,unacc
102,vhigh,vhigh,5more,more,med,low,unacc
1404,low,high,2,2,small,low,unacc
754,high,med,5more,more,big,med,acc
1097,med,med,2,4,big,high,vgood
1676,low,low,4,2,small,high,unacc
1414,low,high,2,4,small,med,acc
794,high,low,3,4,small,high,acc
1084,med,med,2,2,med,med,unacc
193,vhigh,high,5more,2,med,med,unacc
1058,med,high,5more,2,med,high,unacc
1160,med,med,4,more,big,high,vgood
238,vhigh,med,2,more,med,med,unacc
975,med,high,2,2,med,low,unacc
963,med,vhigh,5more,more,small,low,unacc
1174,med,med,5more,4,med,med,acc
1141,med,med,4,2,big,med,unacc
822,high,low,4,4,med,low,unacc
269,vhigh,med,3,more,big,high,acc
1502,low,high,5more,4,big,high,vgood
957,med,vhigh,5more,4,med,low,unacc
1167,med,med,5more,2,big,low,unacc
1036,med,high,4,4,small,med,unacc
234,vhigh,med,2,more,small,low,unacc
939,med,vhigh,4,more,med,low,unacc
78,vhigh,vhigh,4,more,big,low,unacc
211,vhigh,high,5more,more,med,med,unacc
180,vhigh,high,4,more,small,low,unacc
76,vhigh,vhigh,4,more,med,med,unacc
707,high,med,4,2,med,high,unacc
644,high,high,5more,more,med,high,acc
1098,med,med,2,more,small,low,unacc
1251,med,low,4,4,small,low,unacc
1531,low,med,2,more,small,med,unacc
816,high,low,4,2,big,low,unacc
964,med,vhigh,5more,more,small,med,unacc
1488,low,high,5more,2,med,low,unacc
675,high,med,3,2,small,low,unacc
1689,low,low,4,4,big,low,unacc
946,med,vhigh,5more,2,small,med,unacc
1409,low,high,2,2,med,high,unacc
738,high,med,5more,4,small,low,unacc
426,vhigh,low,5more,more,med,low,unacc
1269,med,low,5more,2,small,low,unacc
134,vhigh,high,2,more,big,high,unacc
511,high,vhigh,4,more,big,med,unacc
1321,low,vhigh,2,more,big,med,acc
1096,med,med,2,4,big,med,acc
1221,med,low,3,2,big,low,unacc
1088,med,med,2,2,big,high,unacc
517,high,vhigh,5more,2,med,med,unacc
1394,low,vhigh,5more,4,big,high,acc
567,high,high,3,2,small,low,unacc
407,vhigh,low,5more,2,small,high,unacc
744,high,med,5more,4,big,low,unacc
1614,low,med,5more,more,med,low,unacc
157,vhigh,high,3,more,med,med,unacc
259,vhigh,med,3,4,big,med,acc
1608,low,med,5more,4,big,low,unacc
1490,low,high,5more,2,med,high,unacc
516,high,vhigh,5more,2,med,low,unacc
1122,med,med,3,4,big,low,unacc
924,med,vhigh,4,2,big,low,unacc
1024,med,high,3,more,big,med,acc
890,med,vhigh,2,more,big,high,acc
1323,low,vhigh,3,2,small,low,unacc
306,vhigh,med,5more,4,small,low,unacc
609,high,high,4,4,big,low,unacc
489,high,vhigh,4,2,med,low,unacc
478,high,vhigh,3,more,small,med,unacc
1127,med,med,3,more,small,high,acc
860,high,low,5more,more,med,high,acc
33,vhigh,vhigh,3,2,big,low,unacc
1302,low,vhigh,2,2,big,low,unacc
1130,med,med,3,more,med,high,vgood
1681,low,low,4,2,big,med,unacc
260,vhigh,med,3,4,big,high,acc
242,vhigh,med,2,more,big,high,acc
190,vhigh,high,5more,2,small,med,unacc
1308,low,vhigh,2,4,med,low,unacc
1493,low,high,5more,2,big,high,unacc
1535,low,med,2,more,med,high,good
934,med,vhigh,4,4,big,med,acc
928,med,vhigh,4,4,small,med,unacc
575,high,high,3,2,big,high,unacc
625,high,high,5more,2,med,med,unacc
799,high,low,3,4,big,med,acc
1638,low,low,2,more,small,low,unacc
1397,low,vhigh,5more,more,small,high,acc
884,med,vhigh,2,more,small,high,unacc
987,med,high,2,4,big,low,unacc
474,high,vhigh,3,4,big,low,unacc
432,high,vhigh,2,2,small,low,unacc
187,vhigh,high,4,more,big,med,unacc
252,vhigh,med,3,4,small,low,unacc
286,vhigh,med,4,4,big,med,acc
5,vhigh,vhigh,2,2,med,high,unacc
768,high,low,2,4,med,low,unacc
1355,low,vhigh,4,2,med,high,unacc
767,high,low,2,4,small,high,acc
690,high,med,3,4,big,low,unacc
1704,low,low,5more,2,med,low,unacc
268,vhigh,med,3,more,big,med,acc
341,vhigh,low,2,4,big,high,acc
1426,low,high,2,more,med,med,acc
984,med,high,2,4,med,low,unacc
564,high,high,2,more,big,low,unacc
883,med,vhigh,2,more,small,med,unacc
124,vhigh,high,2,4,big,med,unacc
1429,low,high,2,more,big,med,acc
1232,med,low,3,4,big,high,vgood
171,vhigh,high,4,4,small,low,unacc
146,vhigh,high,3,4,small,high,unacc
1424,low,high,2,more,small,high,unacc
745,high,med,5more,4,big,med,acc
1577,low,med,4,4,small,high,good
980,med,high,2,2,big,high,unacc
1200,med,low,2,4,med,low,unacc
1523,low,med,2,4,small,high,good
944,med,vhigh,4,more,big,high,acc
1605,low,med,5more,4,med,low,unacc
982,med,high,2,4,small,med,unacc
725,high,med,4,more,med,high,acc
1646,low,low,2,more,big,high,vgood
1468,low,high,4,4,small,med,acc
704,high,med,4,2,small,high,unacc
1047,med,high,4,more,med,low,unacc
1589,low,med,4,more,med,high,vgood
412,vhigh,low,5more,2,big,med,unacc
1480,low,high,4,more,med,med,acc
155,vhigh,high,3,more,small,high,unacc
769,high,low,2,4,med,med,unacc
1668,low,low,3,more,med,low,unacc
1249,med,low,4,2,big,med,unacc
1196,med,low,2,2,big,high,unacc
640,high,high,5more,more,small,med,unacc
1264,med,low,4,more,med,med,good
646,high,high,5more,more,big,med,acc
857,high,low,5more,more,small,high,acc
1603,low,med,5more,4,small,med,acc
572,high,high,3,2,med,high,unacc
1065,med,high,5more,4,med,low,unacc
1069,med,high,5more,4,big,med,acc
502,high,vhigh,4,4,big,med,unacc
161,vhigh,high,3,more,big,high,unacc
1690,low,low,4,4,big,med,good
457,high,vhigh,2,more,big,med,unacc
283,vhigh,med,4,4,med,med,acc
119,vhigh,high,2,4,small,high,unacc
1315,low,vhigh,2,more,small,med,unacc
1695,low,low,4,more,med,low,unacc
779,high,low,2,more,med,high,acc
1234,med,low,3,more,small,med,acc
1476,low,high,4,more,small,low,unacc
271,vhigh,med,4,2,small,med,unacc
315,vhigh,med,5more,more,small,low,unacc
1009,med,high,3,4,small,med,unacc
1588,low,med,4,more,med,med,good
31,vhigh,vhigh,3,2,med,med,unacc
968,med,vhigh,5more,more,med,high,acc
1132,med,med,3,more,big,med,acc
773,high,low,2,4,big,high,acc
1218,med,low,3,2,med,low,unacc
1343,low,vhigh,3,more,small,high,acc
462,high,vhigh,3,2,med,low,unacc
1225,med,low,3,4,small,med,acc
1385,low,vhigh,5more,2,big,high,unacc
1568,low,med,4,2,small,high,unacc
140,vhigh,high,3,2,med,high,unacc
327,vhigh,low,2,2,med,low,unacc
1022,med,high,3,more,med,high,acc
1612,low,med,5more,more,small,med,acc
1177,med,med,5more,4,big,med,acc
318,vhigh,med,5more,more,med,low,unacc
1500,low,high,5more,4,big,low,unacc
1633,low,low,2,4,med,med,acc
311,vhigh,med,5more,4,med,high,acc
90,vhigh,vhigh,5more,4,small,low,unacc
1396,low,vhigh,5more,more,small,med,unacc
1157,med,med,4,more,med,high,vgood
1471,low,high,4,4,med,med,acc
923,med,vhigh,4,2,med,high,unacc
615,high,high,4,more,med,low,unacc
602,high,high,4,2,big,high,unacc
521,high,vhigh,5more,2,big,high,unacc
232,vhigh,med,2,4,big,med,acc
100,vhigh,vhigh,5more,more,small,med,unacc
498,high,vhigh,4,4,med,low,unacc
743,high,med,5more,4,med,high,acc
397,vhigh,low,4,more,small,med,unacc
537,high,vhigh,5more,more,big,low,unacc
353,vhigh,low,3,2,small,high,unacc
219,vhigh,med,2,2,med,low,unacc
1713,low,low,5more,4,med,low,unacc
1416,low,high,2,4,med,low,unacc
532,high,vhigh,5more,more,small,med,unacc
1322,low,vhigh,2,more,big,high,acc
440,high,vhigh,2,2,big,high,unacc
1379,low,vhigh,5more,2,small,high,unacc
360,vhigh,low,3,4,small,low,unacc
1349,low,vhigh,3,more,big,high,acc
718,high,med,4,4,big,med,acc
995,med,high,2,more,med,high,acc
1538,low,med,2,more,big,high,vgood
901,med,vhigh,3,4,small,med,unacc
781,high,low,2,more,big,med,acc
1459,low,high,4,2,small,med,unacc
618,high,high,4,more,big,low,unacc
837,high,low,5more,2,small,low,unacc
1699,low,low,4,more,big,med,good
888,med,vhigh,2,more,big,low,unacc
649,high,med,2,2,small,med,unacc
555,high,high,2,4,big,low,unacc
340,vhigh,low,2,4,big,med,acc
538,high,vhigh,5more,more,big,med,unacc
1411,low,high,2,2,big,med,unacc
724,high,med,4,more,med,med,acc
472,high,vhigh,3,4,med,med,unacc
795,high,low,3,4,med,low,unacc
1208,med,low,2,more,small,high,unacc
1298,low,vhigh,2,2,small,high,unacc
688,high,med,3,4,med,med,unacc
87,vhigh,vhigh,5more,2,big,low,unacc
1453,low,high,3,more,med,med,acc
687,high,med,3,4,med,low,unacc
188,vhigh,high,4,more,big,high,unacc
1145,med,med,4,4,small,high,acc
1316,low,vhigh,2,more,small,high,unacc
7,vhigh,vhigh,2,2,big,med,unacc
74,vhigh,vhigh,4,more,small,high,unacc
1311,low,vhigh,2,4,big,low,unacc
458,high,vhigh,2,more,big,high,unacc
1461,low,high,4,2,med,low,unacc
1173,med,med,5more,4,med,low,unacc
39,vhigh,vhigh,3,4,med,low,unacc
1245,med,low,4,2,med,low,unacc
464,high,vhigh,3,2,med,high,unacc
1217,med,low,3,2,small,high,unacc
191,vhigh,high,5more,2,small,high,unacc
1276,med,low,5more,2,big,med,unacc
1095,med,med,2,4,big,low,unacc
101,vhigh,vhigh,5more,more,small,high,unacc
1074,med,high,5more,more,med,low,unacc
524,high,vhigh,5more,4,small,high,unacc
758,high,low,2,2,small,high,unacc
1475,low,high,4,4,big,high,vgood
785,high,low,3,2,small,high,unacc
800,high,low,3,4,big,high,acc
1061,med,high,5more,2,big,high,unacc
903,med,vhigh,3,4,med,low,unacc
1073,med,high,5more,more,small,high,acc
1254,med,low,4,4,med,low,unacc
937,med,vhigh,4,more,small,med,unacc
1299,low,vhigh,2,2,med,low,unacc
621,high,high,5more,2,small,low,unacc
587,high,high,3,more,small,high,acc
492,high,vhigh,4,2,big,low,unacc
1086,med,med,2,2,big,low,unacc
534,high,vhigh,5more,more,med,low,unacc
853,high,low,5more,4,big,med,acc
1258,med,low,4,4,big,med,good
1156,med,med,4,more,med,med,acc
15,vhigh,vhigh,2,4,big,low,unacc
1344,low,vhigh,3,more,med,low,unacc
756,high,low,2,2,small,low,unacc
409,vhigh,low,5more,2,med,med,unacc
1114,med,med,3,2,big,med,unacc
453,high,vhigh,2,more,med,low,unacc
548,high,high,2,2,big,high,unacc
637,high,high,5more,4,big,med,acc
1458,low,high,4,2,small,low,unacc
711,high,med,4,4,small,low,unacc
183,vhigh,high,4,more,med,low,unacc
264,vhigh,med,3,more,med,low,unacc
455,high,vhigh,2,more,med,high,unacc
1619,low,med,5more,more,big,high,vgood
1419,low,high,2,4,big,low,unacc
631,high,high,5more,4,small,med,unacc
218,vhigh,med,2,2,small,high,unacc
989,med,high,2,4,big,high,acc
1639,low,low,2,more,small,med,unacc
676,high,med,3,2,small,med,unacc
1214,med,low,2,more,big,high,vgood
1261,med,low,4,more,small,med,acc
965,med,vhigh,5more,more,small,high,acc
1224,med,low,3,4,small,low,unacc
175,vhigh,high,4,4,med,med,unacc
450,high,vhigh,2,more,small,low,unacc
650,high,med,2,2,small,high,unacc
940,med,vhigh,4,more,med,med,acc
1526,low,med,2,4,med,high,good
127,vhigh,high,2,more,small,med,unacc
1241,med,low,3,more,big,high,vgood
68,vhigh,vhigh,4,4,med,high,unacc
918,med,vhigh,4,2,small,low,unacc
226,vhigh,med,2,4,small,med,unacc
1161,med,med,5more,2,small,low,unacc
29,vhigh,vhigh,3,2,small,high,unacc
977,med,high,2,2,med,high,unacc
1153,med,med,4,more,small,med,acc
1413,low,high,2,4,small,low,unacc
170,vhigh,high,4,2,big,high,unacc
1596,low,med,5more,2,med,low,unacc
348,vhigh,low,2,more,big,low,unacc
542,high,high,2,2,small,high,unacc
