,WIFI1,WIFI2,WIFI3,WIFI4,WIFI5,WIFI6,WIFI7,room
388,-62,-58,-58,-63,-68,-82,-84,1
390,-62,-57,-56,-63,-66,-84,-82,1
402,-63,-51,-57,-60,-66,-79,-82,1
403,-63,-51,-58,-63,-68,-81,-87,1
405,-62,-58,-59,-59,-67,-80,-77,1
408,-62,-53,-64,-65,-69,-85,-85,1
412,-60,-62,-66,-66,-71,-84,-85,1
415,-64,-52,-59,-59,-66,-86,-87,1
418,-62,-54,-60,-61,-70,-79,-81,1
419,-61,-57,-59,-62,-69,-78,-83,1
426,-60,-57,-66,-64,-70,-84,-88,1
429,-62,-60,-61,-66,-69,-80,-86,1
430,-64,-59,-62,-63,-69,-84,-81,1
433,-68,-56,-65,-67,-76,-87,-85,1
437,-64,-56,-64,-71,-75,-87,-87,1
438,-64,-57,-63,-71,-77,-87,-83,1
439,-65,-58,-65,-65,-74,-89,-85,1
441,-70,-62,-62,-67,-69,-88,-86,1
442,-64,-58,-60,-67,-68,-84,-81,1
449,-67,-56,-65,-66,-75,-83,-81,1
450,-68,-55,-66,-68,-75,-82,-83,1
451,-67,-57,-64,-68,-75,-82,-82,1
452,-68,-55,-73,-65,-76,-82,-82,1
455,-68,-57,-67,-68,-75,-83,-83,1
459,-68,-55,-63,-61,-74,-79,-85,1
460,-67,-57,-60,-60,-75,-83,-87,1
464,-66,-57,-61,-61,-73,-81,-90,1
465,-66,-57,-62,-61,-74,-81,-89,1
469,-63,-57,-64,-69,-75,-85,-83,1
471,-62,-58,-62,-65,-75,-90,-81,1
472,-62,-59,-62,-63,-74,-86,-81,1
475,-60,-52,-59,-65,-66,-82,-80,1
476,-61,-59,-58,-62,-65,-78,-78,1
477,-60,-57,-58,-59,-70,-76,-80,1
478,-62,-52,-56,-63,-64,-78,-81,1
480,-59,-57,-60,-58,-67,-80,-79,1
481,-59,-57,-60,-60,-63,-81,-77,1
484,-62,-52,-59,-62,-64,-80,-81,1
485,-61,-55,-56,-66,-73,-79,-80,1
488,-60,-59,-55,-66,-66,-82,-86,1
489,-61,-54,-60,-60,-64,-79,-81,1
493,-61,-53,-52,-60,-72,-75,-81,1
500,-42,-53,-62,-38,-66,-65,-69,2
501,-44,-55,-61,-41,-66,-72,-68,2
502,-41,-58,-56,-40,-73,-69,-73,2
503,-40,-55,-56,-41,-70,-74,-73,2
505,-38,-54,-56,-45,-56,-72,-68,2
506,-38,-52,-54,-38,-64,-73,-77,2
510,-37,-59,-57,-43,-73,-65,-66,2
511,-39,-54,-61,-43,-75,-64,-74,2
512,-42,-57,-61,-43,-73,-67,-66,2
514,-41,-56,-54,-41,-76,-65,-68,2
521,-38,-57,-61,-38,-69,-73,-70,2
522,-39,-62,-58,-37,-69,-73,-72,2
523,-35,-58,-61,-38,-67,-71,-71,2
524,-26,-55,-55,-38,-71,-71,-70,2
525,-38,-58,-59,-41,-65,-68,-74,2
526,-27,-55,-57,-37,-67,-71,-71,2
540,-16,-58,-58,-13,-68,-76,-90,2
546,-38,-55,-54,-42,-63,-78,-71,2
547,-38,-58,-53,-40,-63,-77,-70,2
548,-37,-61,-54,-37,-66,-74,-75,2
549,-41,-57,-51,-40,-66,-78,-71,2
551,-42,-53,-50,-47,-66,-80,-69,2
552,-47,-55,-52,-49,-59,-78,-71,2
554,-45,-58,-59,-42,-66,-81,-75,2
557,-42,-55,-57,-38,-71,-71,-76,2
558,-42,-56,-50,-43,-68,-76,-77,2
564,-43,-58,-56,-41,-69,-79,-78,2
569,-40,-53,-56,-42,-69,-74,-78,2
570,-43,-60,-55,-46,-71,-76,-79,2
573,-39,-54,-53,-45,-68,-78,-81,2
580,-39,-56,-55,-39,-68,-74,-73,2
582,-38,-57,-60,-39,-68,-73,-74,2
584,-40,-50,-49,-51,-65,-75,-80,2
585,-38,-52,-56,-44,-65,-71,-75,2
586,-38,-51,-54,-45,-67,-72,-76,2
589,-43,-58,-50,-45,-71,-68,-74,2
590,-40,-53,-50,-40,-60,-69,-74,2
591,-38,-58,-59,-37,-66,-74,-67,2
593,-37,-56,-58,-39,-66,-70,-72,2
594,-20,-63,-61,-35,-70,-73,-71,2
600,-19,-60,-56,-36,-63,-70,-75,2
605,-13,-63,-65,-16,-74,-73,-74,2
606,-13,-60,-63,-18,-70,-73,-73,2
608,-12,-64,-63,-18,-69,-72,-74,2
609,-17,-63,-65,-27,-86,-72,-74,2
612,-39,-54,-55,-37,-71,-64,-67,2
617,-44,-58,-63,-39,-80,-71,-72,2
618,-45,-58,-63,-45,-80,-76,-65,2
620,-42,-58,-63,-41,-75,-69,-67,2
622,-45,-58,-62,-40,-73,-70,-67,2
625,-40,-56,-57,-35,-84,-70,-66,2
626,-36,-60,-57,-37,-68,-66,-77,2
628,-17,-59,-63,-15,-70,-76,-85,2
630,-39,-54,-55,-37,-61,-77,-79,2
640,-49,-56,-58,-42,-77,-76,-78,2
643,-48,-58,-58,-44,-71,-77,-79,2
648,-48,-63,-58,-44,-74,-79,-78,2
649,-45,-56,-60,-46,-81,-79,-75,2
651,-50,-57,-57,-50,-70,-77,-80,2
655,-49,-56,-59,-49,-74,-82,-80,2
659,-40,-63,-64,-50,-64,-75,-78,2
662,-42,-61,-63,-44,-74,-76,-75,2
667,-40,-58,-60,-49,-72,-74,-80,2
668,-37,-54,-55,-38,-72,-76,-79,2
671,-40,-55,-66,-39,-75,-73,-78,2
673,-40,-59,-57,-39,-67,-81,-74,2
676,-44,-54,-54,-45,-73,-71,-79,2
681,-42,-57,-51,-41,-69,-77,-75,2
682,-45,-58,-55,-46,-69,-75,-73,2
683,-49,-56,-58,-50,-64,-75,-73,2
687,-38,-53,-53,-38,-66,-70,-69,2
690,-38,-56,-53,-28,-71,-67,-72,2
693,-37,-56,-53,-43,-63,-72,-77,2
694,-37,-59,-54,-39,-72,-75,-70,2
696,-38,-58,-54,-38,-67,-72,-71,2
698,-37,-60,-53,-37,-64,-68,-67,2
700,-38,-56,-56,-37,-62,-67,-67,2
701,-37,-59,-55,-38,-65,-67,-68,2
704,-37,-58,-56,-38,-63,-75,-74,2
706,-48,-58,-56,-38,-65,-67,-76,2
708,-40,-58,-52,-41,-66,-63,-75,2
709,-38,-52,-59,-48,-67,-64,-75,2
712,-43,-53,-51,-42,-73,-71,-66,2
713,-42,-53,-50,-44,-71,-68,-64,2
714,-42,-54,-51,-47,-64,-70,-65,2
715,-42,-55,-49,-45,-64,-70,-65,2
722,-39,-53,-51,-40,-64,-67,-64,2
726,-40,-52,-49,-41,-62,-69,-65,2
733,-39,-53,-51,-43,-70,-72,-70,2
741,-36,-55,-53,-46,-63,-68,-71,2
742,-38,-54,-53,-42,-69,-72,-66,2
748,-35,-53,-58,-44,-63,-68,-71,2
749,-36,-53,-57,-40,-66,-70,-69,2
755,-37,-58,-60,-37,-75,-65,-67,2
759,-37,-56,-55,-45,-64,-61,-69,2
763,-39,-51,-57,-36,-64,-65,-71,2
774,-17,-53,-57,-17,-70,-77,-73,2
775,-34,-55,-58,-15,-65,-73,-72,2
778,-18,-50,-57,-36,-62,-66,-71,2
779,-27,-60,-56,-18,-65,-68,-72,2
780,-18,-57,-63,-16,-72,-73,-66,2
781,-18,-57,-63,-34,-72,-65,-75,2
783,-35,-58,-50,-35,-62,-72,-67,2
788,-40,-57,-57,-43,-68,-89,-72,2
793,-40,-57,-51,-46,-65,-75,-79,2
796,-46,-58,-56,-43,-70,-72,-80,2
800,-42,-55,-56,-43,-73,-76,-75,2
809,-45,-57,-55,-48,-67,-77,-84,2
810,-46,-59,-54,-52,-67,-77,-83,2
812,-39,-53,-56,-48,-66,-69,-72,2
817,-39,-55,-54,-48,-76,-73,-80,2
822,-40,-59,-59,-39,-73,-71,-72,2
828,-38,-53,-51,-39,-68,-76,-72,2
832,-36,-55,-55,-36,-60,-73,-72,2
836,-34,-57,-55,-35,-59,-71,-69,2
838,-34,-61,-52,-27,-61,-67,-69,2
840,-34,-61,-61,-36,-60,-73,-76,2
842,-35,-60,-54,-35,-61,-81,-80,2
843,-36,-60,-53,-36,-63,-70,-77,2
844,-34,-62,-57,-36,-61,-71,-71,2
845,-36,-59,-57,-35,-61,-65,-80,2
848,-36,-59,-55,-40,-65,-66,-69,2
853,-37,-56,-58,-36,-80,-72,-70,2
854,-36,-60,-57,-37,-80,-72,-72,2
856,-35,-53,-62,-35,-68,-70,-69,2
858,-13,-54,-57,-21,-77,-72,-72,2
861,-18,-53,-60,-17,-71,-74,-71,2
864,-36,-54,-57,-34,-60,-69,-75,2
865,-39,-57,-54,-38,-56,-70,-72,2
871,-12,-55,-57,-16,-70,-76,-75,2
873,-10,-58,-62,-20,-73,-76,-74,2
878,-39,-52,-53,-36,-61,-67,-70,2
879,-40,-53,-55,-37,-71,-75,-74,2
882,-37,-58,-55,-38,-60,-74,-76,2
888,-44,-52,-56,-47,-63,-71,-75,2
893,-43,-52,-55,-35,-61,-75,-76,2
902,-39,-57,-55,-42,-61,-74,-75,2
906,-40,-50,-50,-37,-64,-71,-78,2
920,-36,-57,-58,-36,-62,-74,-73,2
926,-36,-58,-56,-39,-62,-67,-73,2
930,-15,-55,-62,-25,-71,-67,-68,2
934,-36,-54,-56,-35,-61,-70,-79,2
936,-38,-55,-56,-42,-66,-72,-75,2
940,-38,-53,-52,-40,-63,-73,-77,2
943,-40,-53,-51,-37,-78,-73,-77,2
944,-45,-53,-51,-36,-78,-72,-76,2
945,-44,-52,-51,-36,-78,-72,-77,2
947,-40,-54,-52,-35,-68,-71,-76,2
950,-38,-55,-56,-36,-64,-70,-66,2
951,-38,-56,-48,-39,-71,-72,-71,2
952,-37,-57,-51,-39,-71,-71,-72,2
954,-40,-57,-47,-42,-64,-74,-71,2
956,-40,-70,-47,-43,-69,-73,-84,2
960,-36,-54,-54,-37,-66,-75,-71,2
963,-37,-57,-51,-39,-70,-76,-72,2
965,-38,-51,-53,-38,-63,-72,-73,2
970,-44,-50,-57,-45,-61,-72,-67,2
971,-40,-52,-53,-39,-61,-75,-73,2
972,-43,-55,-50,-39,-61,-69,-73,2
982,-34,-54,-56,-42,-68,-76,-75,2
987,-39,-54,-55,-37,-64,-70,-70,2
988,-43,-57,-52,-40,-58,-72,-70,2
991,-38,-58,-62,-41,-64,-76,-73,2
993,-45,-52,-59,-43,-71,-74,-79,2
994,-45,-57,-59,-43,-71,-74,-79,2
1000,-48,-54,-50,-49,-61,-81,-84,3
1001,-54,-53,-54,-50,-63,-79,-77,3
1009,-49,-53,-55,-46,-59,-81,-93,3
1010,-49,-52,-58,-46,-57,-77,-77,3
1013,-56,-51,-47,-51,-71,-79,-75,3
1016,-48,-56,-50,-45,-61,-80,-80,3
1018,-48,-50,-55,-50,-66,-78,-75,3
1029,-45,-55,-54,-47,-63,-78,-80,3
1030,-46,-53,-54,-46,-63,-79,-82,3
1034,-47,-55,-55,-49,-67,-85,-80,3
1036,-46,-60,-56,-47,-66,-83,-85,3
1040,-49,-51,-58,-45,-65,-83,-84,3
1041,-52,-60,-59,-40,-60,-81,-81,3
1048,-53,-54,-59,-54,-62,-81,-82,3
1057,-49,-53,-53,-51,-64,-79,-80,3
1059,-50,-57,-53,-49,-67,-83,-82,3
1061,-50,-57,-60,-43,-66,-77,-82,3
1063,-47,-53,-55,-57,-62,-80,-78,3
1068,-50,-58,-54,-51,-60,-80,-82,3
1069,-51,-56,-51,-55,-62,-85,-83,3
1071,-54,-59,-52,-63,-62,-76,-81,3
1072,-52,-57,-51,-55,-65,-85,-85,3
1073,-52,-57,-61,-59,-59,-85,-85,3
1074,-52,-48,-56,-53,-62,-78,-81,3
1075,-49,-55,-51,-49,-63,-81,-73,3
1076,-46,-48,-52,-52,-62,-77,-80,3
1080,-49,-50,-51,-50,-62,-75,-75,3
1084,-49,-52,-46,-48,-60,-79,-80,3
1091,-49,-52,-54,-52,-60,-83,-79,3
1095,-50,-57,-54,-44,-67,-85,-85,3
1096,-46,-57,-52,-43,-69,-86,-85,3
1100,-51,-55,-54,-49,-60,-79,-84,3
1101,-51,-58,-51,-51,-62,-79,-86,3
1103,-49,-54,-55,-49,-63,-81,-87,3
1105,-50,-55,-51,-57,-58,-86,-86,3
1107,-49,-55,-49,-49,-60,-80,-79,3
1108,-46,-53,-54,-52,-64,-79,-84,3
1111,-51,-55,-50,-50,-59,-79,-85,3
1120,-51,-52,-56,-56,-63,-79,-80,3
1122,-53,-52,-51,-53,-64,-80,-81,3
1124,-52,-52,-52,-49,-62,-80,-80,3
1130,-51,-57,-51,-51,-65,-80,-80,3
1133,-52,-56,-50,-56,-66,-81,-80,3
1143,-52,-56,-50,-54,-59,-79,-80,3
1145,-52,-55,-56,-51,-69,-85,-85,3
1156,-51,-53,-52,-55,-68,-78,-91,3
1157,-51,-60,-52,-52,-67,-79,-91,3
1158,-51,-52,-51,-51,-64,-79,-89,3
1159,-52,-52,-50,-49,-66,-77,-88,3
1161,-51,-52,-51,-51,-65,-77,-89,3
1164,-51,-51,-51,-51,-65,-78,-88,3
1165,-51,-52,-51,-50,-69,-77,-88,3
1166,-52,-53,-49,-50,-69,-79,-87,3
1169,-51,-53,-52,-54,-65,-77,-87,3
1171,-50,-53,-52,-50,-64,-78,-88,3
1176,-51,-53,-56,-56,-64,-77,-88,3
1177,-51,-52,-53,-55,-64,-78,-91,3
1181,-50,-53,-50,-55,-68,-78,-87,3
1182,-50,-53,-53,-55,-67,-78,-89,3
1196,-50,-52,-51,-54,-67,-77,-88,3
1201,-51,-52,-56,-52,-66,-80,-89,3
1203,-47,-60,-59,-55,-70,-79,-85,3
1208,-52,-57,-58,-57,-68,-86,-83,3
1222,-49,-64,-53,-52,-63,-73,-78,3
1224,-49,-64,-58,-53,-70,-84,-80,3
1229,-51,-62,-59,-52,-68,-85,-78,3
1234,-49,-52,-52,-51,-63,-78,-74,3
1235,-51,-53,-54,-53,-62,-83,-82,3
1245,-56,-52,-51,-57,-64,-86,-91,3
1246,-56,-52,-50,-58,-57,-85,-88,3
1253,-49,-55,-50,-53,-62,-76,-75,3
1255,-47,-50,-53,-47,-63,-76,-79,3
1258,-46,-55,-48,-52,-62,-80,-79,3
1261,-50,-56,-51,-49,-67,-84,-81,3
1269,-51,-54,-51,-53,-60,-86,-79,3
1270,-45,-52,-52,-51,-64,-84,-84,3
1277,-46,-60,-54,-50,-62,-79,-74,3
1278,-46,-53,-47,-52,-57,-79,-85,3
1280,-52,-51,-49,-56,-65,-81,-83,3
1282,-53,-53,-50,-55,-59,-86,-81,3
1284,-47,-57,-49,-46,-63,-84,-86,3
1287,-48,-54,-52,-54,-58,-87,-89,3
1288,-50,-54,-51,-50,-66,-87,-85,3
1290,-50,-56,-57,-49,-68,-92,-80,3
1294,-51,-59,-51,-48,-67,-79,-79,3
1297,-47,-54,-51,-47,-66,-88,-80,3
1301,-53,-57,-50,-47,-62,-86,-81,3
1312,-46,-60,-52,-55,-61,-85,-85,3
1318,-48,-55,-58,-50,-63,-81,-86,3
1322,-45,-63,-57,-53,-57,-81,-84,3
1328,-46,-57,-53,-48,-58,-80,-86,3
1330,-53,-56,-51,-50,-61,-83,-81,3
1335,-52,-56,-53,-50,-62,-84,-81,3
1337,-53,-55,-52,-46,-63,-86,-85,3
1341,-51,-55,-51,-48,-63,-88,-84,3
1343,-52,-55,-51,-49,-64,-87,-84,3
1344,-51,-55,-52,-49,-64,-86,-83,3
1351,-52,-56,-51,-50,-65,-87,-82,3
1352,-51,-58,-52,-48,-68,-86,-84,3
1355,-52,-56,-52,-44,-63,-87,-84,3
1358,-46,-53,-51,-49,-68,-79,-85,3
1359,-48,-51,-53,-48,-64,-81,-79,3
1361,-51,-55,-56,-49,-58,-84,-84,3
1362,-50,-51,-51,-49,-63,-79,-80,3
1363,-52,-57,-53,-47,-57,-80,-83,3
1364,-50,-52,-55,-49,-64,-80,-86,3
1367,-46,-53,-53,-43,-59,-83,-78,3
1370,-49,-53,-50,-45,-64,-74,-85,3
1374,-48,-52,-49,-52,-63,-79,-77,3
1376,-50,-52,-49,-45,-64,-76,-78,3
1378,-47,-53,-50,-52,-65,-80,-78,3
1385,-49,-56,-57,-51,-65,-87,-81,3
1387,-50,-49,-57,-49,-61,-82,-86,3
1389,-52,-53,-57,-52,-57,-83,-83,3
1392,-49,-50,-55,-60,-61,-78,-81,3
1393,-49,-50,-55,-49,-54,-85,-76,3
1395,-50,-54,-51,-46,-63,-79,-84,3
1397,-51,-53,-57,-51,-60,-76,-79,3
1399,-49,-54,-52,-52,-63,-83,-85,3
1400,-51,-55,-46,-54,-63,-84,-79,3
1403,-49,-49,-53,-45,-58,-87,-89,3
1404,-50,-51,-54,-43,-66,-78,-78,3
1433,-52,-53,-50,-52,-63,-84,-88,3
1435,-53,-53,-51,-50,-66,-82,-82,3
1437,-47,-58,-50,-55,-64,-76,-74,3
1438,-48,-47,-52,-56,-61,-77,-77,3
1440,-47,-51,-56,-50,-60,-78,-80,3
1443,-47,-51,-54,-50,-64,-75,-82,3
1444,-49,-52,-53,-49,-64,-77,-83,3
1445,-45,-56,-55,-46,-68,-79,-78,3
1446,-46,-58,-54,-48,-63,-78,-75,3
1447,-51,-51,-59,-46,-60,-80,-82,3
1448,-53,-56,-54,-53,-62,-88,-85,3
1449,-50,-58,-54,-50,-65,-79,-89,3
1451,-51,-62,-53,-51,-64,-86,-79,3
1452,-51,-51,-54,-53,-59,-86,-85,3
1455,-52,-53,-54,-49,-63,-85,-79,3
1456,-51,-54,-54,-54,-62,-85,-78,3
1457,-54,-54,-55,-52,-61,-86,-78,3
1459,-52,-53,-56,-49,-62,-83,-80,3
1466,-48,-47,-50,-53,-61,-82,-79,3
1475,-48,-58,-50,-53,-62,-81,-87,3
1477,-48,-54,-53,-51,-61,-77,-80,3
1480,-50,-55,-52,-47,-65,-83,-91,3
1484,-46,-54,-47,-51,-57,-80,-73,3
1485,-49,-52,-48,-48,-59,-79,-78,3
1488,-54,-55,-50,-48,-64,-80,-78,3
1493,-47,-58,-56,-51,-70,-81,-86,3
1496,-55,-60,-50,-55,-63,-88,-87,3
1499,-53,-68,-50,-51,-77,-85,-87,3
1504,-58,-59,-44,-57,-54,-82,-89,4
1507,-59,-52,-56,-59,-51,-89,-84,4
1509,-59,-52,-57,-59,-50,-88,-88,4
1511,-59,-54,-59,-60,-50,-87,-86,4
1519,-59,-52,-55,-60,-55,-87,-88,4
1520,-59,-51,-54,-59,-55,-87,-88,4
1521,-59,-51,-55,-59,-53,-88,-88,4
1524,-58,-51,-56,-59,-54,-87,-87,4
1532,-58,-52,-57,-60,-52,-86,-88,4
1534,-59,-52,-57,-60,-54,-91,-89,4
1538,-57,-50,-58,-60,-51,-87,-88,4
1542,-59,-51,-56,-58,-50,-88,-86,4
1546,-59,-51,-54,-60,-50,-87,-86,4
1548,-59,-51,-56,-61,-50,-86,-86,4
1558,-56,-58,-48,-60,-51,-85,-85,4
1561,-58,-61,-52,-61,-53,-85,-88,4
1562,-57,-57,-51,-60,-53,-85,-89,4
1565,-58,-54,-52,-61,-53,-85,-89,4
1569,-58,-55,-53,-59,-52,-81,-84,4
1571,-57,-55,-57,-59,-48,-85,-84,4
1574,-59,-56,-53,-60,-49,-85,-84,4
1579,-52,-61,-48,-60,-51,-80,-80,4
1583,-58,-53,-49,-60,-48,-86,-91,4
1585,-59,-57,-50,-59,-50,-89,-80,4
1587,-62,-62,-49,-66,-47,-93,-80,4
1592,-63,-57,-52,-64,-52,-88,-93,4
1602,-70,-59,-56,-64,-46,-88,-95,4
1606,-62,-61,-51,-68,-48,-88,-88,4
1615,-63,-59,-51,-72,-55,-96,-92,4
1619,-61,-61,-49,-58,-54,-94,-85,4
1622,-64,-60,-53,-60,-48,-89,-89,4
1625,-63,-58,-57,-61,-52,-89,-93,4
1629,-64,-58,-49,-64,-49,-92,-91,4
1634,-66,-56,-56,-66,-49,-89,-87,4
1637,-66,-57,-55,-65,-48,-91,-87,4
1641,-65,-56,-54,-63,-49,-92,-89,4
1642,-64,-55,-55,-66,-49,-88,-88,4
1650,-69,-58,-46,-66,-48,-95,-93,4
1651,-65,-57,-45,-69,-48,-91,-94,4
1665,-64,-56,-51,-65,-49,-91,-94,4
1674,-61,-56,-44,-61,-49,-91,-86,4
1676,-65,-52,-48,-63,-48,-91,-88,4
1681,-65,-52,-46,-65,-49,-88,-87,4
1689,-55,-57,-49,-52,-53,-82,-86,4
1692,-64,-55,-55,-58,-51,-89,-88,4
1696,-61,-58,-52,-61,-45,-92,-81,4
1697,-60,-56,-43,-61,-50,-89,-87,4
1708,-64,-55,-52,-61,-50,-92,-94,4
1710,-65,-58,-56,-61,-49,-89,-88,4
1715,-64,-57,-48,-60,-39,-88,-85,4
1716,-60,-51,-53,-63,-42,-87,-82,4
1718,-59,-52,-44,-57,-49,-85,-87,4
1722,-59,-57,-52,-71,-49,-92,-88,4
1723,-59,-56,-56,-65,-49,-92,-88,4
1727,-61,-58,-58,-67,-50,-96,-85,4
1728,-59,-57,-56,-65,-49,-91,-86,4
1730,-60,-57,-56,-65,-50,-96,-87,4
1739,-60,-58,-56,-66,-51,-85,-89,4
1740,-61,-56,-57,-65,-54,-85,-88,4
1741,-61,-57,-57,-66,-55,-83,-87,4
1742,-60,-57,-56,-64,-52,-84,-88,4
1746,-61,-56,-55,-63,-47,-85,-89,4
1747,-61,-58,-48,-57,-52,-91,-92,4
1758,-61,-62,-54,-69,-46,-93,-98,4
1765,-58,-56,-46,-56,-62,-84,-87,4
1772,-60,-54,-56,-65,-43,-88,-87,4
1773,-59,-56,-49,-57,-45,-88,-88,4
1774,-56,-56,-40,-62,-50,-86,-86,4
1784,-63,-56,-51,-57,-45,-88,-88,4
1787,-61,-55,-52,-61,-44,-88,-92,4
1790,-64,-63,-56,-64,-47,-92,-83,4
1791,-71,-59,-52,-62,-48,-91,-83,4
1794,-56,-53,-49,-60,-48,-82,-85,4
1807,-58,-57,-46,-55,-50,-87,-85,4
1810,-60,-58,-53,-55,-53,-83,-84,4
1815,-61,-57,-50,-59,-46,-91,-89,4
1816,-63,-53,-59,-62,-45,-88,-86,4
1817,-63,-56,-51,-64,-49,-88,-89,4
1818,-63,-57,-55,-60,-50,-86,-92,4
1819,-62,-62,-55,-64,-42,-86,-92,4
1822,-59,-49,-44,-61,-45,-89,-89,4
1826,-60,-49,-48,-62,-48,-85,-93,4
1828,-62,-56,-49,-58,-45,-85,-82,4
1829,-65,-54,-53,-61,-43,-84,-83,4
