,mpg,cilindros,desplazamiento,caballos,peso,aceleracion,any_modelo,origen,nombre_auto
236,25.5,4,140.0,89.00,2755.0,15.8,77,1,ford mustang ii 2+2
51,30.0,4,79.0,70.00,2074.0,19.5,71,2,peugeot 304
92,13.0,8,351.0,158.0,4363.0,13.0,73,1,ford ltd
71,19.0,3,70.0,97.00,2330.0,13.5,72,3,mazda rx2 coupe
23,26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002
325,44.3,4,90.0,48.00,2085.0,21.7,80,2,vw rabbit c (diesel)
222,17.0,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme
391,36.0,4,135.0,84.00,2370.0,13.0,82,1,dodge charger 2.2
117,29.0,4,68.0,49.00,1867.0,19.5,73,2,fiat 128
88,14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino
110,22.0,4,108.0,94.00,2379.0,16.5,73,3,datsun 610
313,28.0,4,151.0,90.00,2678.0,16.5,80,1,chevrolet citation
90,12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham
10,15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se
198,33.0,4,91.0,53.00,1795.0,17.4,76,3,honda civic
174,18.0,6,171.0,97.00,2984.0,14.5,75,1,ford pinto
14,24.0,4,113.0,95.00,2372.0,15.0,70,3,toyota corona mark ii
259,20.8,6,200.0,85.00,3070.0,16.7,78,1,mercury zephyr
41,14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii
42,12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw)
140,14.0,8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw)
84,27.0,4,97.0,88.00,2100.0,16.5,72,3,toyota corolla 1600 (sw)
136,16.0,8,302.0,140.0,4141.0,14.0,74,1,ford gran torino
251,20.2,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia
374,23.0,4,151.0,?,3035.0,20.5,82,1,amc concord dl
279,29.5,4,98.0,68.00,2135.0,16.6,78,3,honda accord lx
137,13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw)
175,29.0,4,90.0,70.00,1937.0,14.0,75,2,volkswagen rabbit
4,17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino
381,36.0,4,107.0,75.00,2205.0,14.5,82,3,honda accord
320,37.0,4,119.0,92.00,2434.0,15.0,80,3,datsun 510 hatchback
29,27.0,4,97.0,88.00,2130.0,14.5,71,3,datsun pl510
19,26.0,4,97.0,46.00,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan
210,19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii
249,19.9,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham
269,30.9,4,105.0,75.00,2230.0,14.5,78,1,dodge omni
56,26.0,4,91.0,70.00,1955.0,20.5,71,1,plymouth cricket
171,24.0,4,134.0,96.00,2702.0,13.5,75,3,toyota corona
201,18.5,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj
327,36.4,5,121.0,67.00,2950.0,19.9,80,2,audi 5000s (diesel)
149,24.0,4,120.0,97.00,2489.0,15.0,74,3,honda civic
282,22.3,4,140.0,88.00,2890.0,17.3,79,1,ford fairmont 4
33,19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin
112,19.0,4,122.0,85.00,2310.0,18.5,73,1,ford pinto
380,36.0,4,120.0,88.00,2160.0,14.5,82,3,nissan stanza xe
217,30.0,4,111.0,80.00,2155.0,14.8,77,1,buick opel isuzu deluxe
231,15.5,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba
343,39.1,4,79.0,58.00,1755.0,16.9,81,3,toyota starlet
378,38.0,4,105.0,63.00,2125.0,14.7,82,1,plymouth horizon miser
31,25.0,4,113.0,95.00,2228.0,14.0,71,3,toyota corona
0,18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu
79,26.0,4,96.0,69.00,2189.0,18.0,72,2,renault 12 (sw)
109,21.0,4,140.0,72.00,2401.0,19.5,73,1,chevrolet vega
190,14.5,8,351.0,152.0,4215.0,12.8,76,1,ford gran torino
358,31.6,4,120.0,74.00,2635.0,18.3,81,3,mazda 626
361,25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida
254,20.2,6,200.0,85.00,2965.0,15.8,78,1,ford fairmont (auto)
125,20.0,6,198.0,95.00,3102.0,16.5,74,1,plymouth duster
144,31.0,4,76.0,52.00,1649.0,16.5,74,3,toyota corona
385,38.0,4,91.0,67.00,1995.0,16.2,82,3,datsun 310 gx
362,24.2,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima
48,18.0,6,250.0,88.00,3139.0,14.5,71,1,ford mustang
181,33.0,4,91.0,53.00,1795.0,17.5,75,3,honda civic cvcc
145,32.0,4,83.0,61.00,2003.0,19.0,74,3,datsun 710
303,31.8,4,85.0,65.00,2020.0,19.2,79,3,datsun 210
370,31.0,4,112.0,85.00,2575.0,16.2,82,1,pontiac j2000 se hatchback
152,19.0,6,225.0,95.00,3264.0,16.0,75,1,plymouth valiant custom
214,13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108
330,40.9,4,85.0,?,1835.0,17.3,80,2,renault lecar deluxe
341,23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation
354,34.5,4,100.0,?,2320.0,15.8,81,2,renault 18i
113,21.0,6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6
169,20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin
250,19.4,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat
272,23.8,4,151.0,85.00,2855.0,17.6,78,1,oldsmobile starfire sx
