,precio_compra,precio_mto,n_puertas,n_personas,t_maletero,nivel_seguridad,aceptabilidad
168,vhigh,high,4,2,big,low,unacc
173,vhigh,high,4,4,small,high,unacc
174,vhigh,high,4,4,med,low,unacc
176,vhigh,high,4,4,med,high,unacc
177,vhigh,high,4,4,big,low,unacc
179,vhigh,high,4,4,big,high,unacc
181,vhigh,high,4,more,small,med,unacc
182,vhigh,high,4,more,small,high,unacc
184,vhigh,high,4,more,med,med,unacc
186,vhigh,high,4,more,big,low,unacc
189,vhigh,high,5more,2,small,low,unacc
192,vhigh,high,5more,2,med,low,unacc
197,vhigh,high,5more,2,big,high,unacc
198,vhigh,high,5more,4,small,low,unacc
199,vhigh,high,5more,4,small,med,unacc
200,vhigh,high,5more,4,small,high,unacc
201,vhigh,high,5more,4,med,low,unacc
202,vhigh,high,5more,4,med,med,unacc
203,vhigh,high,5more,4,med,high,unacc
204,vhigh,high,5more,4,big,low,unacc
205,vhigh,high,5more,4,big,med,unacc
206,vhigh,high,5more,4,big,high,unacc
207,vhigh,high,5more,more,small,low,unacc
209,vhigh,high,5more,more,small,high,unacc
210,vhigh,high,5more,more,med,low,unacc
212,vhigh,high,5more,more,med,high,unacc
214,vhigh,high,5more,more,big,med,unacc
215,vhigh,high,5more,more,big,high,unacc
216,vhigh,med,2,2,small,low,unacc
217,vhigh,med,2,2,small,med,unacc
221,vhigh,med,2,2,med,high,unacc
222,vhigh,med,2,2,big,low,unacc
223,vhigh,med,2,2,big,med,unacc
224,vhigh,med,2,2,big,high,unacc
225,vhigh,med,2,4,small,low,unacc
227,vhigh,med,2,4,small,high,acc
228,vhigh,med,2,4,med,low,unacc
229,vhigh,med,2,4,med,med,unacc
230,vhigh,med,2,4,med,high,acc
231,vhigh,med,2,4,big,low,unacc
233,vhigh,med,2,4,big,high,acc
235,vhigh,med,2,more,small,med,unacc
236,vhigh,med,2,more,small,high,unacc
237,vhigh,med,2,more,med,low,unacc
239,vhigh,med,2,more,med,high,acc
240,vhigh,med,2,more,big,low,unacc
241,vhigh,med,2,more,big,med,acc
243,vhigh,med,3,2,small,low,unacc
244,vhigh,med,3,2,small,med,unacc
245,vhigh,med,3,2,small,high,unacc
246,vhigh,med,3,2,med,low,unacc
247,vhigh,med,3,2,med,med,unacc
248,vhigh,med,3,2,med,high,unacc
249,vhigh,med,3,2,big,low,unacc
251,vhigh,med,3,2,big,high,unacc
253,vhigh,med,3,4,small,med,unacc
254,vhigh,med,3,4,small,high,acc
256,vhigh,med,3,4,med,med,unacc
257,vhigh,med,3,4,med,high,acc
258,vhigh,med,3,4,big,low,unacc
262,vhigh,med,3,more,small,med,unacc
265,vhigh,med,3,more,med,med,acc
266,vhigh,med,3,more,med,high,acc
267,vhigh,med,3,more,big,low,unacc
270,vhigh,med,4,2,small,low,unacc
272,vhigh,med,4,2,small,high,unacc
273,vhigh,med,4,2,med,low,unacc
274,vhigh,med,4,2,med,med,unacc
275,vhigh,med,4,2,med,high,unacc
276,vhigh,med,4,2,big,low,unacc
277,vhigh,med,4,2,big,med,unacc
278,vhigh,med,4,2,big,high,unacc
279,vhigh,med,4,4,small,low,unacc
280,vhigh,med,4,4,small,med,unacc
281,vhigh,med,4,4,small,high,acc
282,vhigh,med,4,4,med,low,unacc
284,vhigh,med,4,4,med,high,acc
285,vhigh,med,4,4,big,low,unacc
287,vhigh,med,4,4,big,high,acc
288,vhigh,med,4,more,small,low,unacc
289,vhigh,med,4,more,small,med,unacc
290,vhigh,med,4,more,small,high,acc
291,vhigh,med,4,more,med,low,unacc
292,vhigh,med,4,more,med,med,acc
294,vhigh,med,4,more,big,low,unacc
295,vhigh,med,4,more,big,med,acc
296,vhigh,med,4,more,big,high,acc
297,vhigh,med,5more,2,small,low,unacc
298,vhigh,med,5more,2,small,med,unacc
300,vhigh,med,5more,2,med,low,unacc
301,vhigh,med,5more,2,med,med,unacc
302,vhigh,med,5more,2,med,high,unacc
304,vhigh,med,5more,2,big,med,unacc
305,vhigh,med,5more,2,big,high,unacc
307,vhigh,med,5more,4,small,med,unacc
310,vhigh,med,5more,4,med,med,acc
312,vhigh,med,5more,4,big,low,unacc
313,vhigh,med,5more,4,big,med,acc
314,vhigh,med,5more,4,big,high,acc
316,vhigh,med,5more,more,small,med,unacc
317,vhigh,med,5more,more,small,high,acc
319,vhigh,med,5more,more,med,med,acc
320,vhigh,med,5more,more,med,high,acc
321,vhigh,med,5more,more,big,low,unacc
322,vhigh,med,5more,more,big,med,acc
324,vhigh,low,2,2,small,low,unacc
326,vhigh,low,2,2,small,high,unacc
328,vhigh,low,2,2,med,med,unacc
329,vhigh,low,2,2,med,high,unacc
331,vhigh,low,2,2,big,med,unacc
333,vhigh,low,2,4,small,low,unacc
334,vhigh,low,2,4,small,med,unacc
335,vhigh,low,2,4,small,high,acc
337,vhigh,low,2,4,med,med,unacc
338,vhigh,low,2,4,med,high,acc
339,vhigh,low,2,4,big,low,unacc
342,vhigh,low,2,more,small,low,unacc
343,vhigh,low,2,more,small,med,unacc
344,vhigh,low,2,more,small,high,unacc
345,vhigh,low,2,more,med,low,unacc
347,vhigh,low,2,more,med,high,acc
349,vhigh,low,2,more,big,med,acc
350,vhigh,low,2,more,big,high,acc
351,vhigh,low,3,2,small,low,unacc
352,vhigh,low,3,2,small,med,unacc
354,vhigh,low,3,2,med,low,unacc
356,vhigh,low,3,2,med,high,unacc
357,vhigh,low,3,2,big,low,unacc
358,vhigh,low,3,2,big,med,unacc
359,vhigh,low,3,2,big,high,unacc
361,vhigh,low,3,4,small,med,unacc
362,vhigh,low,3,4,small,high,acc
363,vhigh,low,3,4,med,low,unacc
364,vhigh,low,3,4,med,med,unacc
365,vhigh,low,3,4,med,high,acc
366,vhigh,low,3,4,big,low,unacc
367,vhigh,low,3,4,big,med,acc
368,vhigh,low,3,4,big,high,acc
369,vhigh,low,3,more,small,low,unacc
370,vhigh,low,3,more,small,med,unacc
371,vhigh,low,3,more,small,high,acc
372,vhigh,low,3,more,med,low,unacc
373,vhigh,low,3,more,med,med,acc
377,vhigh,low,3,more,big,high,acc
378,vhigh,low,4,2,small,low,unacc
379,vhigh,low,4,2,small,med,unacc
380,vhigh,low,4,2,small,high,unacc
381,vhigh,low,4,2,med,low,unacc
382,vhigh,low,4,2,med,med,unacc
383,vhigh,low,4,2,med,high,unacc
384,vhigh,low,4,2,big,low,unacc
385,vhigh,low,4,2,big,med,unacc
386,vhigh,low,4,2,big,high,unacc
387,vhigh,low,4,4,small,low,unacc
388,vhigh,low,4,4,small,med,unacc
389,vhigh,low,4,4,small,high,acc
390,vhigh,low,4,4,med,low,unacc
391,vhigh,low,4,4,med,med,acc
392,vhigh,low,4,4,med,high,acc
393,vhigh,low,4,4,big,low,unacc
394,vhigh,low,4,4,big,med,acc
395,vhigh,low,4,4,big,high,acc
396,vhigh,low,4,more,small,low,unacc
398,vhigh,low,4,more,small,high,acc
399,vhigh,low,4,more,med,low,unacc
401,vhigh,low,4,more,med,high,acc
402,vhigh,low,4,more,big,low,unacc
403,vhigh,low,4,more,big,med,acc
405,vhigh,low,5more,2,small,low,unacc
406,vhigh,low,5more,2,small,med,unacc
408,vhigh,low,5more,2,med,low,unacc
410,vhigh,low,5more,2,med,high,unacc
411,vhigh,low,5more,2,big,low,unacc
413,vhigh,low,5more,2,big,high,unacc
414,vhigh,low,5more,4,small,low,unacc
416,vhigh,low,5more,4,small,high,acc
417,vhigh,low,5more,4,med,low,unacc
418,vhigh,low,5more,4,med,med,acc
419,vhigh,low,5more,4,med,high,acc
421,vhigh,low,5more,4,big,med,acc
422,vhigh,low,5more,4,big,high,acc
423,vhigh,low,5more,more,small,low,unacc
424,vhigh,low,5more,more,small,med,unacc
425,vhigh,low,5more,more,small,high,acc
427,vhigh,low,5more,more,med,med,acc
428,vhigh,low,5more,more,med,high,acc
430,vhigh,low,5more,more,big,med,acc
431,vhigh,low,5more,more,big,high,acc
433,high,vhigh,2,2,small,med,unacc
434,high,vhigh,2,2,small,high,unacc
435,high,vhigh,2,2,med,low,unacc
436,high,vhigh,2,2,med,med,unacc
437,high,vhigh,2,2,med,high,unacc
438,high,vhigh,2,2,big,low,unacc
439,high,vhigh,2,2,big,med,unacc
442,high,vhigh,2,4,small,med,unacc
443,high,vhigh,2,4,small,high,unacc
444,high,vhigh,2,4,med,low,unacc
446,high,vhigh,2,4,med,high,unacc
447,high,vhigh,2,4,big,low,unacc
449,high,vhigh,2,4,big,high,unacc
451,high,vhigh,2,more,small,med,unacc
452,high,vhigh,2,more,small,high,unacc
454,high,vhigh,2,more,med,med,unacc
456,high,vhigh,2,more,big,low,unacc
459,high,vhigh,3,2,small,low,unacc
460,high,vhigh,3,2,small,med,unacc
463,high,vhigh,3,2,med,med,unacc
465,high,vhigh,3,2,big,low,unacc
467,high,vhigh,3,2,big,high,unacc
468,high,vhigh,3,4,small,low,unacc
469,high,vhigh,3,4,small,med,unacc
471,high,vhigh,3,4,med,low,unacc
473,high,vhigh,3,4,med,high,unacc
475,high,vhigh,3,4,big,med,unacc
476,high,vhigh,3,4,big,high,unacc
477,high,vhigh,3,more,small,low,unacc
479,high,vhigh,3,more,small,high,unacc
480,high,vhigh,3,more,med,low,unacc
481,high,vhigh,3,more,med,med,unacc
482,high,vhigh,3,more,med,high,unacc
483,high,vhigh,3,more,big,low,unacc
484,high,vhigh,3,more,big,med,unacc
485,high,vhigh,3,more,big,high,unacc
486,high,vhigh,4,2,small,low,unacc
487,high,vhigh,4,2,small,med,unacc
488,high,vhigh,4,2,small,high,unacc
490,high,vhigh,4,2,med,med,unacc
491,high,vhigh,4,2,med,high,unacc
493,high,vhigh,4,2,big,med,unacc
494,high,vhigh,4,2,big,high,unacc
495,high,vhigh,4,4,small,low,unacc
497,high,vhigh,4,4,small,high,unacc
499,high,vhigh,4,4,med,med,unacc
500,high,vhigh,4,4,med,high,unacc
503,high,vhigh,4,4,big,high,unacc
504,high,vhigh,4,more,small,low,unacc
505,high,vhigh,4,more,small,med,unacc
506,high,vhigh,4,more,small,high,unacc
507,high,vhigh,4,more,med,low,unacc
508,high,vhigh,4,more,med,med,unacc
509,high,vhigh,4,more,med,high,unacc
510,high,vhigh,4,more,big,low,unacc
512,high,vhigh,4,more,big,high,unacc
513,high,vhigh,5more,2,small,low,unacc
514,high,vhigh,5more,2,small,med,unacc
515,high,vhigh,5more,2,small,high,unacc
518,high,vhigh,5more,2,med,high,unacc
520,high,vhigh,5more,2,big,med,unacc
522,high,vhigh,5more,4,small,low,unacc
523,high,vhigh,5more,4,small,med,unacc
525,high,vhigh,5more,4,med,low,unacc
526,high,vhigh,5more,4,med,med,unacc
527,high,vhigh,5more,4,med,high,unacc
528,high,vhigh,5more,4,big,low,unacc
529,high,vhigh,5more,4,big,med,unacc
530,high,vhigh,5more,4,big,high,unacc
531,high,vhigh,5more,more,small,low,unacc
533,high,vhigh,5more,more,small,high,unacc
535,high,vhigh,5more,more,med,med,unacc
536,high,vhigh,5more,more,med,high,unacc
539,high,vhigh,5more,more,big,high,unacc
540,high,high,2,2,small,low,unacc
541,high,high,2,2,small,med,unacc
543,high,high,2,2,med,low,unacc
544,high,high,2,2,med,med,unacc
545,high,high,2,2,med,high,unacc
546,high,high,2,2,big,low,unacc
547,high,high,2,2,big,med,unacc
549,high,high,2,4,small,low,unacc
550,high,high,2,4,small,med,unacc
552,high,high,2,4,med,low,unacc
553,high,high,2,4,med,med,unacc
556,high,high,2,4,big,med,acc
557,high,high,2,4,big,high,acc
558,high,high,2,more,small,low,unacc
559,high,high,2,more,small,med,unacc
560,high,high,2,more,small,high,unacc
561,high,high,2,more,med,low,unacc
562,high,high,2,more,med,med,unacc
565,high,high,2,more,big,med,acc
566,high,high,2,more,big,high,acc
568,high,high,3,2,small,med,unacc
569,high,high,3,2,small,high,unacc
570,high,high,3,2,med,low,unacc
571,high,high,3,2,med,med,unacc
573,high,high,3,2,big,low,unacc
576,high,high,3,4,small,low,unacc
577,high,high,3,4,small,med,unacc
578,high,high,3,4,small,high,acc
579,high,high,3,4,med,low,unacc
580,high,high,3,4,med,med,unacc
581,high,high,3,4,med,high,acc
582,high,high,3,4,big,low,unacc
583,high,high,3,4,big,med,acc
585,high,high,3,more,small,low,unacc
586,high,high,3,more,small,med,unacc
588,high,high,3,more,med,low,unacc
590,high,high,3,more,med,high,acc
592,high,high,3,more,big,med,acc
593,high,high,3,more,big,high,acc
594,high,high,4,2,small,low,unacc
595,high,high,4,2,small,med,unacc
596,high,high,4,2,small,high,unacc
597,high,high,4,2,med,low,unacc
598,high,high,4,2,med,med,unacc
599,high,high,4,2,med,high,unacc
600,high,high,4,2,big,low,unacc
601,high,high,4,2,big,med,unacc
603,high,high,4,4,small,low,unacc
605,high,high,4,4,small,high,acc
606,high,high,4,4,med,low,unacc
608,high,high,4,4,med,high,acc
611,high,high,4,4,big,high,acc
612,high,high,4,more,small,low,unacc
613,high,high,4,more,small,med,unacc
614,high,high,4,more,small,high,acc
616,high,high,4,more,med,med,acc
617,high,high,4,more,med,high,acc
619,high,high,4,more,big,med,acc
620,high,high,4,more,big,high,acc
622,high,high,5more,2,small,med,unacc
623,high,high,5more,2,small,high,unacc
624,high,high,5more,2,med,low,unacc
626,high,high,5more,2,med,high,unacc
627,high,high,5more,2,big,low,unacc
628,high,high,5more,2,big,med,unacc
629,high,high,5more,2,big,high,unacc
632,high,high,5more,4,small,high,acc
633,high,high,5more,4,med,low,unacc
635,high,high,5more,4,med,high,acc
636,high,high,5more,4,big,low,unacc
638,high,high,5more,4,big,high,acc
639,high,high,5more,more,small,low,unacc
641,high,high,5more,more,small,high,acc
642,high,high,5more,more,med,low,unacc
643,high,high,5more,more,med,med,acc
645,high,high,5more,more,big,low,unacc
648,high,med,2,2,small,low,unacc
651,high,med,2,2,med,low,unacc
653,high,med,2,2,med,high,unacc
655,high,med,2,2,big,med,unacc
657,high,med,2,4,small,low,unacc
658,high,med,2,4,small,med,unacc
659,high,med,2,4,small,high,acc
660,high,med,2,4,med,low,unacc
662,high,med,2,4,med,high,acc
664,high,med,2,4,big,med,acc
665,high,med,2,4,big,high,acc
666,high,med,2,more,small,low,unacc
667,high,med,2,more,small,med,unacc
668,high,med,2,more,small,high,unacc
669,high,med,2,more,med,low,unacc
670,high,med,2,more,med,med,unacc
671,high,med,2,more,med,high,acc
672,high,med,2,more,big,low,unacc
673,high,med,2,more,big,med,acc
674,high,med,2,more,big,high,acc
677,high,med,3,2,small,high,unacc
678,high,med,3,2,med,low,unacc
679,high,med,3,2,med,med,unacc
680,high,med,3,2,med,high,unacc
681,high,med,3,2,big,low,unacc
682,high,med,3,2,big,med,unacc
683,high,med,3,2,big,high,unacc
684,high,med,3,4,small,low,unacc
685,high,med,3,4,small,med,unacc
686,high,med,3,4,small,high,acc
689,high,med,3,4,med,high,acc
692,high,med,3,4,big,high,acc
693,high,med,3,more,small,low,unacc
694,high,med,3,more,small,med,unacc
695,high,med,3,more,small,high,acc
696,high,med,3,more,med,low,unacc
697,high,med,3,more,med,med,acc
698,high,med,3,more,med,high,acc
699,high,med,3,more,big,low,unacc
700,high,med,3,more,big,med,acc
701,high,med,3,more,big,high,acc
702,high,med,4,2,small,low,unacc
703,high,med,4,2,small,med,unacc
705,high,med,4,2,med,low,unacc
708,high,med,4,2,big,low,unacc
709,high,med,4,2,big,med,unacc
710,high,med,4,2,big,high,unacc
713,high,med,4,4,small,high,acc
714,high,med,4,4,med,low,unacc
716,high,med,4,4,med,high,acc
717,high,med,4,4,big,low,unacc
721,high,med,4,more,small,med,unacc
723,high,med,4,more,med,low,unacc
726,high,med,4,more,big,low,unacc
727,high,med,4,more,big,med,acc
729,high,med,5more,2,small,low,unacc
730,high,med,5more,2,small,med,unacc
731,high,med,5more,2,small,high,unacc
732,high,med,5more,2,med,low,unacc
733,high,med,5more,2,med,med,unacc
734,high,med,5more,2,med,high,unacc
735,high,med,5more,2,big,low,unacc
736,high,med,5more,2,big,med,unacc
737,high,med,5more,2,big,high,unacc
739,high,med,5more,4,small,med,unacc
740,high,med,5more,4,small,high,acc
741,high,med,5more,4,med,low,unacc
742,high,med,5more,4,med,med,acc
746,high,med,5more,4,big,high,acc
747,high,med,5more,more,small,low,unacc
748,high,med,5more,more,small,med,unacc
751,high,med,5more,more,med,med,acc
752,high,med,5more,more,med,high,acc
755,high,med,5more,more,big,high,acc
757,high,low,2,2,small,med,unacc
759,high,low,2,2,med,low,unacc
760,high,low,2,2,med,med,unacc
761,high,low,2,2,med,high,unacc
762,high,low,2,2,big,low,unacc
763,high,low,2,2,big,med,unacc
764,high,low,2,2,big,high,unacc
766,high,low,2,4,small,med,unacc
770,high,low,2,4,med,high,acc
771,high,low,2,4,big,low,unacc
772,high,low,2,4,big,med,acc
774,high,low,2,more,small,low,unacc
775,high,low,2,more,small,med,unacc
776,high,low,2,more,small,high,unacc
777,high,low,2,more,med,low,unacc
778,high,low,2,more,med,med,unacc
780,high,low,2,more,big,low,unacc
782,high,low,2,more,big,high,acc
783,high,low,3,2,small,low,unacc
784,high,low,3,2,small,med,unacc
786,high,low,3,2,med,low,unacc
787,high,low,3,2,med,med,unacc
789,high,low,3,2,big,low,unacc
790,high,low,3,2,big,med,unacc
791,high,low,3,2,big,high,unacc
792,high,low,3,4,small,low,unacc
793,high,low,3,4,small,med,unacc
796,high,low,3,4,med,med,unacc
797,high,low,3,4,med,high,acc
801,high,low,3,more,small,low,unacc
802,high,low,3,more,small,med,unacc
803,high,low,3,more,small,high,acc
804,high,low,3,more,med,low,unacc
805,high,low,3,more,med,med,acc
806,high,low,3,more,med,high,acc
807,high,low,3,more,big,low,unacc
808,high,low,3,more,big,med,acc
809,high,low,3,more,big,high,acc
810,high,low,4,2,small,low,unacc
811,high,low,4,2,small,med,unacc
812,high,low,4,2,small,high,unacc
813,high,low,4,2,med,low,unacc
814,high,low,4,2,med,med,unacc
817,high,low,4,2,big,med,unacc
818,high,low,4,2,big,high,unacc
820,high,low,4,4,small,med,unacc
821,high,low,4,4,small,high,acc
823,high,low,4,4,med,med,acc
824,high,low,4,4,med,high,acc
825,high,low,4,4,big,low,unacc
826,high,low,4,4,big,med,acc
829,high,low,4,more,small,med,unacc
830,high,low,4,more,small,high,acc
832,high,low,4,more,med,med,acc
833,high,low,4,more,med,high,acc
834,high,low,4,more,big,low,unacc
835,high,low,4,more,big,med,acc
836,high,low,4,more,big,high,acc
838,high,low,5more,2,small,med,unacc
839,high,low,5more,2,small,high,unacc
840,high,low,5more,2,med,low,unacc
841,high,low,5more,2,med,med,unacc
842,high,low,5more,2,med,high,unacc
843,high,low,5more,2,big,low,unacc
844,high,low,5more,2,big,med,unacc
845,high,low,5more,2,big,high,unacc
846,high,low,5more,4,small,low,unacc
847,high,low,5more,4,small,med,unacc
848,high,low,5more,4,small,high,acc
849,high,low,5more,4,med,low,unacc
850,high,low,5more,4,med,med,acc
852,high,low,5more,4,big,low,unacc
854,high,low,5more,4,big,high,acc
855,high,low,5more,more,small,low,unacc
856,high,low,5more,more,small,med,unacc
858,high,low,5more,more,med,low,unacc
859,high,low,5more,more,med,med,acc
861,high,low,5more,more,big,low,unacc
862,high,low,5more,more,big,med,acc
863,high,low,5more,more,big,high,acc
864,med,vhigh,2,2,small,low,unacc
865,med,vhigh,2,2,small,med,unacc
866,med,vhigh,2,2,small,high,unacc
867,med,vhigh,2,2,med,low,unacc
868,med,vhigh,2,2,med,med,unacc
869,med,vhigh,2,2,med,high,unacc
870,med,vhigh,2,2,big,low,unacc
871,med,vhigh,2,2,big,med,unacc
872,med,vhigh,2,2,big,high,unacc
873,med,vhigh,2,4,small,low,unacc
874,med,vhigh,2,4,small,med,unacc
875,med,vhigh,2,4,small,high,acc
876,med,vhigh,2,4,med,low,unacc
877,med,vhigh,2,4,med,med,unacc
881,med,vhigh,2,4,big,high,acc
882,med,vhigh,2,more,small,low,unacc
885,med,vhigh,2,more,med,low,unacc
886,med,vhigh,2,more,med,med,unacc
887,med,vhigh,2,more,med,high,acc
889,med,vhigh,2,more,big,med,acc
892,med,vhigh,3,2,small,med,unacc
893,med,vhigh,3,2,small,high,unacc
894,med,vhigh,3,2,med,low,unacc
895,med,vhigh,3,2,med,med,unacc
897,med,vhigh,3,2,big,low,unacc
898,med,vhigh,3,2,big,med,unacc
899,med,vhigh,3,2,big,high,unacc
900,med,vhigh,3,4,small,low,unacc
905,med,vhigh,3,4,med,high,acc
906,med,vhigh,3,4,big,low,unacc
907,med,vhigh,3,4,big,med,acc
909,med,vhigh,3,more,small,low,unacc
910,med,vhigh,3,more,small,med,unacc
911,med,vhigh,3,more,small,high,acc
912,med,vhigh,3,more,med,low,unacc
913,med,vhigh,3,more,med,med,acc
914,med,vhigh,3,more,med,high,acc
915,med,vhigh,3,more,big,low,unacc
916,med,vhigh,3,more,big,med,acc
919,med,vhigh,4,2,small,med,unacc
920,med,vhigh,4,2,small,high,unacc
921,med,vhigh,4,2,med,low,unacc
922,med,vhigh,4,2,med,med,unacc
925,med,vhigh,4,2,big,med,unacc
926,med,vhigh,4,2,big,high,unacc
929,med,vhigh,4,4,small,high,acc
930,med,vhigh,4,4,med,low,unacc
931,med,vhigh,4,4,med,med,acc
933,med,vhigh,4,4,big,low,unacc
935,med,vhigh,4,4,big,high,acc
936,med,vhigh,4,more,small,low,unacc
938,med,vhigh,4,more,small,high,acc
941,med,vhigh,4,more,med,high,acc
942,med,vhigh,4,more,big,low,unacc
943,med,vhigh,4,more,big,med,acc
945,med,vhigh,5more,2,small,low,unacc
947,med,vhigh,5more,2,small,high,unacc
948,med,vhigh,5more,2,med,low,unacc
949,med,vhigh,5more,2,med,med,unacc
950,med,vhigh,5more,2,med,high,unacc
951,med,vhigh,5more,2,big,low,unacc
952,med,vhigh,5more,2,big,med,unacc
953,med,vhigh,5more,2,big,high,unacc
954,med,vhigh,5more,4,small,low,unacc
955,med,vhigh,5more,4,small,med,unacc
956,med,vhigh,5more,4,small,high,acc
958,med,vhigh,5more,4,med,med,acc
960,med,vhigh,5more,4,big,low,unacc
961,med,vhigh,5more,4,big,med,acc
962,med,vhigh,5more,4,big,high,acc
